-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Wright Flyer III,Wright Flyer III?,2   (passengers:1  crew:1),"September 17, 1908",1   (passengers:1  crew:0),?,0,"Fort Myer, Virginia",Military - U.S. Army,?,Demonstration,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1718,1920,1
ACCIDENT DETAILS,Wright Byplane,Wright ByplaneSC1,1   (passengers:0  crew:1),"September 07, 1909",1   (passengers:0  crew:0),?,0,"Juvisy-sur-Orge, France",?,SC1,Air show,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",?,1920,?
ACCIDENT DETAILS,Dirigible,Dirigible?,5   (passengers:0  crew:5),"July 12, 1912",5   (passengers:0  crew:5),?,0,"Atlantic City, New Jersey",Military - U.S. Navy,?,Test flight,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",0630,1920,?
ACCIDENT DETAILS,Curtiss seaplane,Curtiss seaplane?,1   (passengers:0  crew:1),"August 06, 1913",1   (passengers:0  crew:1),?,0,"Victoria, British Columbia, Canada",Private,?,?,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",?,1920,?
ACCIDENT DETAILS,Zeppelin L-1 (airship),Zeppelin L-1 (airship)?,20   (passengers:?  crew:?),"September 09, 1913",14   (passengers:?  crew:?),?,0,Over the North Sea,Military - German Navy,?,?,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,1830,1920,?
ACCIDENT DETAILS,Zeppelin L-2 (airship),Zeppelin L-2 (airship)?,28   (passengers:?  crew:?),"October 17, 1913",28   (passengers:?  crew:?),?,0,"Near Johannisthal, Germany",Military - German Navy,?,?,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",1030,1920,?
ACCIDENT DETAILS,Zeppelin L-8 (airship),Zeppelin L-8 (airship)?,41   (passengers:0  crew:41),"March 05, 1915",17   (passengers:0  crew:17),?,0,"Tienen, Belgium",Military - German Navy,?,?,Crashed into trees while attempting to land after being shot down by British and French aircraft.,0100,1920,?
ACCIDENT DETAILS,Zeppelin L-10 (airship),Zeppelin L-10 (airship)?,19   (passengers:?  crew:?),"September 03, 1915",19   (passengers:?  crew:?),?,0,"Off Cuxhaven, Germany",Military - German Navy,?,?,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1520,1920,?
ACCIDENT DETAILS,Schutte-Lanz S-L-10 (airship),Schutte-Lanz S-L-10 (airship)?,20   (passengers:?  crew:?),"July 28, 1916",20   (passengers:?  crew:?),?,0,"Near Jambol, Bulgeria",Military - German Army,?,?,"Crashed near the Black Sea, cause unknown.",?,1920,?
ACCIDENT DETAILS,Zeppelin L-32 (airship),Zeppelin L-32 (airship)?,22   (passengers:?  crew:?),"September 24, 1916",22   (passengers:?  crew:?),?,0,"Billericay, England",Military - German Navy,?,?,Shot down by British aircraft crashing in flames.,0100,1920,?
