-,AC Type,AC Type.1,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln,Operator Country,rule_based_category,processed_summary,x,y,kmeans_cluster,hybrid_category,kmeans_cluster_interpretation,category_id
ACCIDENT DETAILS,Wright Flyer III,Wright Flyer III?,2   (passengers:1  crew:1),"September 17, 1908",1   (passengers:1  crew:0),?,0,"Fort Myer, Virginia",Military - U.S. Army,?,Demonstration,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1718,1920,1,,Mechanical failure,demonstration army flyer flown orville wright nose dived ground height foot killing thomas selfridge passenger recorded fatality history propeller separated tearing loose wire bracing rudder loss control orville wright suffered broken rib pelvis leg selfridge suffered crushed skull died,0.1057872280142591,-0.05866075450605162,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Wright Byplane,Wright ByplaneSC1,1   (passengers:0  crew:1),"September 07, 1909",1   (passengers:0  crew:0),?,0,"Juvisy-sur-Orge, France",?,SC1,Air show,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",?,1920,?,,Control loss,eugene lefebvre ever killed air accident control jambed flying air,0.14132957029952553,-0.040766794219132756,2,Control loss,Control loss,2
ACCIDENT DETAILS,Dirigible,Dirigible?,5   (passengers:0  crew:5),"July 12, 1912",5   (passengers:0  crew:5),?,0,"Atlantic City, New Jersey",Military - U.S. Navy,?,Test flight,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",0630,1920,?,,Test/Demonstration flight,dirigible akron exploded offshore altitude test,0.06796218369977643,-0.01696533274225529,11,Test/Demonstration flight,Test/Demonstration flight,11
ACCIDENT DETAILS,Curtiss seaplane,Curtiss seaplane?,1   (passengers:0  crew:1),"August 06, 1913",1   (passengers:0  crew:1),?,0,"Victoria, British Columbia, Canada",Private,?,?,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",?,1920,?,,Weather-related,fatal accident canada occurred american barnstormer bryant california aviator killed,0.06331589113688965,-0.016116739967008117,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Zeppelin L-1 (airship),Zeppelin L-1 (airship)?,20   (passengers:?  crew:?),"September 09, 1913",14   (passengers:?  crew:?),?,0,Over the North Sea,Military - German Navy,?,?,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,1830,1920,?,,Weather-related,airship flew thunderstorm encountered severe downdraft crashing mile helgoland sea ship broke control car immediately sank drowning occupant,0.11876338089235731,-0.010744662463057353,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Zeppelin L-2 (airship),Zeppelin L-2 (airship)?,28   (passengers:?  crew:?),"October 17, 1913",28   (passengers:?  crew:?),?,0,"Near Johannisthal, Germany",Military - German Navy,?,?,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",1030,1920,?,,Combustible gas failure,hydrogen gas vented sucked forward engine ignited airship explode burn german navy zeppelin airship blown sea february,0.06112153947221439,-0.0656992043179227,1,Combustible gas failure,Combustible gas failure,1
ACCIDENT DETAILS,Zeppelin L-8 (airship),Zeppelin L-8 (airship)?,41   (passengers:0  crew:41),"March 05, 1915",17   (passengers:0  crew:17),?,0,"Tienen, Belgium",Military - German Navy,?,?,Crashed into trees while attempting to land after being shot down by British and French aircraft.,0100,1920,?,,Shot down/Military action,tree land shot british french,0.10176234997506288,-0.004506676751303318,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-10 (airship),Zeppelin L-10 (airship)?,19   (passengers:?  crew:?),"September 03, 1915",19   (passengers:?  crew:?),?,0,"Off Cuxhaven, Germany",Military - German Navy,?,?,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1520,1920,?,,Combustible gas failure,exploded burned near neuwerk hydrogen gas vented ignited lightning,0.05869030390877438,-0.007507702818303316,1,Combustible gas failure,Combustible gas failure,1
ACCIDENT DETAILS,Schutte-Lanz S-L-10 (airship),Schutte-Lanz S-L-10 (airship)?,20   (passengers:?  crew:?),"July 28, 1916",20   (passengers:?  crew:?),?,0,"Near Jambol, Bulgeria",Military - German Army,?,?,"Crashed near the Black Sea, cause unknown.",?,1920,?,,Unclear cause,near black sea unknown,0.07632600523971708,-0.010273987962893381,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Zeppelin L-32 (airship),Zeppelin L-32 (airship)?,22   (passengers:?  crew:?),"September 24, 1916",22   (passengers:?  crew:?),?,0,"Billericay, England",Military - German Navy,?,?,Shot down by British aircraft crashing in flames.,0100,1920,?,,Shot down/Military action,shot british crashing flame,0.04858575393706169,-0.026500551990195423,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-31 (airship),Zeppelin L-31 (airship)?,19   (passengers:0  crew:19),"October 01, 1916",19   (passengers:0  crew:19),?,0,"Potters Bar, England",Military - German Navy,?,?,Shot down in flames by the British 39th Home Defence Squadron.,2345,1920,?,,Shot down/Military action,shot flame british defence squadron,0.047024111969664176,-0.028004304404215637,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Super Zeppelin (airship),Super Zeppelin (airship)?,28   (passengers:?  crew:?),"November 21, 1916",27   (passengers:?  crew:?),?,0,"Mainz, Germany",Military - German Army,?,?,Crashed in a storm.,?,1920,?,,Weather-related,storm,0.018398035844169953,0.003179733057071111,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Zeppelin L-34 (airship),Zeppelin L-34 (airship)?,20   (passengers:?  crew:?),"November 28, 1916",20   (passengers:?  crew:?),?,0,"Off West Hartlepool, England",Military - German Navy,?,?,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,2345,1920,?,,Shot down/Military action,shot british anti fire sea,0.09102751705272405,-0.07840397901363902,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Airship,Airship?,20   (passengers:?  crew:?),"March 04, 1917",20   (passengers:?  crew:?),?,0,"Near Gent, Belgium",Military - German Army,?,?,Caught fire and crashed.,?,1920,?,,Explosion/Fire,caught fire,0.1368954044330467,-0.15475165799153967,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,Schutte-Lanz S-L-9 (airship),Schutte-Lanz S-L-9 (airship)?,23   (passengers:?  crew:?),"March 30, 1917",23   (passengers:?  crew:?),?,0,Off Northern Germany,Military - German Navy,?,?,Struck by lightning and crashed into the Baltic Sea.,?,1920,?,,Weather-related,struck lightning baltic sea,0.12899801856076565,0.042238593934494396,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Zeppelin L-22 (airship),Zeppelin L-22 (airship)?,21   (passengers:?  crew:?),"May 14, 1917",21   (passengers:?  crew:?),?,0,"Near Texel Island, North Sea",Military - German Navy,?,?,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",0515,1920,?,,Shot down/Military action,sea altitude hit british fire,0.17128434182679322,-0.06053299176175632,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-43 (airship),Zeppelin L-43 (airship)?,24   (passengers:?  crew:?),"June 14, 1917",24   (passengers:?  crew:?),?,0,"Off Vlieland Island, North Sea",Military - German Navy,?,?,Shot down by British aircraft.,0845,1920,?,,Shot down/Military action,shot british,0.022604445804871677,-0.014154733217666679,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zepplin L-48 (air ship),Zepplin L-48 (air ship)L-48,16   (passengers:?  crew:?),"June 17, 1917",14   (passengers:?  crew:?),?,0,"Near Yarmouth, England",?,L-48,?,Shot down by aircraft.,?,1920,?,,Shot down/Military action,shot,0.0333696671528166,-0.020897990325937213,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Zeppelin L-23 (airship),Zeppelin L-23 (airship)?,18   (passengers:?  crew:?),"August 21, 1917",18   (passengers:?  crew:?),?,0,Off western Denmark,Military - German Navy,?,?,Shot down by British aircraft.,0700,1920,?,,Shot down/Military action,shot british,0.022604445804871677,-0.014154733217666679,8,Shot down/Military action,Shot down/Military action,8
