location,latitude,longitude
Constanta,44.1767161,28.6507598
"Vandeikya, Nigeria",6.8334444,9.0458344
El Rodeo,-28.2124867,-65.8773962
Victoria,-36.5986096,144.6780052
Miandrivazo,-19.5312416,45.4587681
"Köln, Bonn",50.8677817,7.138961
Sante Fe,10.2331665,124.7715814
"Pedro Alfonso, Brazil",-26.8626936,-52.9899807
Sacramento,38.5810606,-121.493895
"Posadas, Argentina",-27.3664824,-55.894295
"Off Sondre Stromfjord, Greenland",67.0086767,-50.6913356
"San Diego, CA",32.7174202,-117.162772
Bayan Olgiy,48.5470083,89.8549358
"Trammel, Kentucky",36.7853194,-86.3533242
"Savannakhet, Laos",16.5001958,105.7155946
Cape Lisburne,68.8811111,-166.21
Gulfport - New Orleans,29.4244429,-94.6939222
Dar-es-Salaam,-6.8160837,39.2803583
"Uriman, Venezuela",5.3566832,-62.6698029
Tourane,16.068,108.212
"Near Bradford, Pennsylvania",41.7746685,-76.5264613
Merida - Mexico City,19.4156756,-99.156391
"White Plains, NY",41.0339862,-73.7629097
Tiflis,41.6934591,44.8014495
"Caracas, Venezuela",10.5060934,-66.9146008
Florianopolis,-27.5973002,-48.5496098
"Near Shanghai, China",31.2312707,121.4700152
"Walungu, Congo",-2.7708003,28.6000504
"Charlotte, NC",35.2272086,-80.8430827
"New Boston, Texas",33.4598415,-94.4154787
Oiapoque,3.8432128,-51.8350798
"Near Karamui, Papua New Guinea",-6.4977578,144.8290788
Treasure Cay,26.6774884,-77.2895287
McGuire AFB,40.0171621,-74.5902049
Bilibino,68.0550305,166.4448515
Boufarik AB,36.5755523,2.9128963
Innsbruck,47.2654296,11.3927685
Martha's Vineyard,41.3920454,-70.6208138
"Cape Spencer, Alaska",58.1983862,-136.6402128
Strasbourg,48.584614,7.7507127
"Marquette, Nebraska",41.0070132,-98.0114268
"Kadirana, Sri Lanka",6.9782078,79.8746542
"Near San Francisco, California",37.7792588,-122.4193286
Erechim - Porto Alegre,-30.092787,-51.2143139
"Loja, Peru",-6.4947245,-77.5236429
"Ogle, Guyana",6.8040808,-58.1052187
Daet,14.112333,122.9556967
"Fish Haven, Idaho",42.0368759,-111.3963177
Tuxtla Gutierrez,16.753801,-93.115959
"Near Cuangar, Angola",-17.6097686,18.6223286
Beirut,33.8892265,35.5025585
"Wien, Austria",48.2083537,16.3725042
"Chesterton, Indiana",41.6107243,-87.0522661
Pasco,28.2996183,-82.4522702
Tokyo / Tokyo - Nigata,35.7026755,139.7692819
Carac,48.874261,2.33706
Savu Savu,-9.666667,122.0
Lawa,3.438783,-54.0049888
"Shamurat, Uzbekistan",42.4924621,59.6042067
"Istanbul, Turkey",41.006381,28.9758715
Nuha,-2.4577912,121.3981651
Kobenhavn,55.6867243,12.5700724
"Dryden, Ontario, Canada",49.785698,-92.835846
"Lyon Satolas, France",45.7244237,5.0865172
Da Nang,16.068,108.212
"Marietta, Georgia",33.9528472,-84.5496148
"Portsmouth, England",50.800031,-1.0906023
"Near Marseille, Ohio",39.6835647,-84.1718056
Abidjan,5.320357,-4.016107
Mamburao,13.2248292,120.5960338
Skopje,41.9961816,21.4319213
Jima,29.6269656,81.9767873
"Lahore, India",31.7621021,74.8295989
Larisa,38.6671446,27.0318507
"Taboga Island, Panama",8.7895216,-79.56074
"Near Fort Worth, Texas",32.753177,-97.3327459
"Kellogg, Idaho",47.5382349,-116.118887
Tres Esquinas,4.7150773,-75.7508642
Wilmington NC,34.2257282,-77.9447107
"Cebu, Philippines",10.47,123.83
"Near Svanetia, Georgia",42.635452,42.2487138
Bahia,-12.285251,-41.9294776
"Near Batumi, Republic of Georgia",41.6509502,41.6360085
"Bagotville, Quebec, Canada",48.3407795,-70.8797721
"Choco, Colombia",6.0000085,-77.0000086
Near Irkutsk Russia,52.2891225,104.279829
"Near  Kathmandu, Nepal",27.708317,85.3205817
